,Name,Platform,Max_Players,Genre,Publisher,Review_Score,US_Sales,Used_Price,Age_Rating,Length.All.PlayStyles.Average,Length.All.PlayStyles.Leisure,Length.All.PlayStyles.Median,Length.All.PlayStyles.Polled,Length.All.PlayStyles.Rushed,US.Sales..millions.,Year,Sequel,Re.release,Lifecycle,LifecycleSq,Online,Licensed,Handheld,Multiplatform,PersistentUniverse,Pinball,PostApocalyptic,Puzzle,RealTime,RhythmAction,SciFi,TurnBased,VideoBackdrop,VisualNovel,Ecology,Language,Geography,Graphics,Health,History,Maths,Music,PreSchool,Reading,Religion,Science,Sociology,Typing,AmericanFootball,Basketball,Baseball,Boxing,Bowling,Cricket,Fishing,Cycling,Golf,Hockey,Horse,Hunting,Motorcycle,OffRoad,Olympiad,Paintball,PingPong,Pool,Rugby,Sailing,Skateboarding,Snowboarding,Soccer,Surfing,Tennis,Tricks,Volleyball,Wakeboarding,Wrestling,FirstPerson,Platform.1,Isometric,SideScrolling,TopDown,ThirdPerson,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer
401,Mega Man Maverick Hunter X,PSP,1,Platform,Capcom,79,0.25,17.95,E10+,6.766666667,14.11666667,5.683333333,18,3.466666667,0.25,2005,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0.27,0.01,0,0.03,0.31,79,34,8.3,44,Capcom
402,Mega Man Powered Up,PSP,1,Platform,Capcom,82,0.11,16.95,E,5.633333333,7.833333333,5.75,6,3.533333333,0.11,2006,0,1,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.12,0.01,0,0.02,0.14,82,28,7.5,36,Capcom
403,Mega Man ZX Advent,DS,1,Platform,Capcom,78,0.22,17.95,E10+,12.88333333,23.98333333,10.93333333,18,8.383333333,0.22,2007,1,0,3,9,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0.22,0,0.09,0.02,0.33,78,27,8.6,32,Inti Creates
404,Mega Man ZX,DS,1,Platform,Capcom,76,0.14,19.95,E,11.26666667,16.05,10.96666667,22,8.05,0.14,2006,1,0,2,4,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0.16,0,0.1,0.02,0.28,76,37,8.3,32,Inti Creates
405,Mercenaries 2: World in Flames,PS3,1,Shooter,Electronic Arts,72,0.27,15.95,T,22.86666667,37.28333333,20.26666667,18,14.78333333,0.27,2008,1,0,2,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.29,0.39,0.02,0.16,0.87,72,43,7.1,73,Pandemic Studios
406,Mercenaries 2: World in Flames,X360,1,Shooter,Electronic Arts,72,0.66,14.95,T,22.86666667,37.28333333,20.26666667,18,14.78333333,0.66,2008,1,0,3,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.65,0.3,0.01,0.1,1.06,72,69,7.2,152,Pandemic Studios
407,Metal Gear Acid 2,PSP,1,Strategy,Konami Digital Entertainment,80,0.12,12.95,M,14.83333333,19.95,15,15,12.58333333,0.12,2005,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.11,0,0.05,0.01,0.18,NA,NA,NA,NA,
408,Metal Gear Acid,PSP,1,Strategy,Konami Digital Entertainment,75,0.34,17.95,M,25.38333333,51.65,21.26666667,18,19.16666667,0.34,2004,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.32,0.26,0.12,0.17,0.87,NA,NA,NA,NA,
409,Metal Gear Solid 4: Guns of the Patriots,PS3,1,Action,Konami Digital Entertainment,94,2.58,22.95,M,19.86666667,49.68333333,18.9,691,11.03333333,2.58,2008,1,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2.63,1.71,0.83,0.82,5.99,94,82,8.7,3558,Kojima Productions
410,Metal Gear Solid: Digital Graphic Novel,PSP,1,Misc,Konami Digital Entertainment,78,0.02,17.95,M,3.183333333,3.4,3.033333333,4,3.05,0.02,2006,0,0,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0,0.04,78,22,7.2,21,Kojima Productions
411,Metal Gear Solid: Portable Ops,PSP,1,Action,Konami Digital Entertainment,87,0.39,17.95,M,13.35,21.35,12.08333333,66,9.183333333,0.39,2006,0,0,2,4,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.38,0.35,0.38,0.08,1.18,87,54,8.2,147,Kojima Productions
412,Metal Slug 7,DS,1,Shooter,Ignition Entertainment,70,0.09,17.95,T,1.266666667,2.05,0.983333333,8,0.916666667,0.09,2008,1,0,4,16,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0.12,0,0.01,0.01,0.14,70,38,7.4,13,SNK Playmore
413,Metal Slug Anthology,Wii,4,Shooter,Ignition Entertainment,73,0.11,16.95,T,7.483333333,11.11666667,7,15,5.283333333,0.11,2006,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.12,0.01,0,0.01,0.14,73,38,8,22,Terminal Reality
414,Meteos,DS,1,Puzzle,Nintendo,88,0.16,15.95,E,17.26666667,26.58333333,14.1,13,10.33333333,0.16,2005,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.01,0.06,0.01,0.23,88,49,7.5,164,Q Entertainment
415,Metroid Prime 3: Corruption,Wii,1,Shooter,Nintendo,90,0.91,19.95,T,15.98333333,26.96666667,15.55,114,11.9,0.91,2007,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.89,0.74,0.07,0.09,1.79,90,62,8.9,491,Retro Studios
416,Metroid Prime Pinball,DS,1,Misc,Nintendo,79,0.22,17.95,E,5.566666667,8.633333333,5,7,3.283333333,0.22,2005,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.21,0,0.02,0.02,0.25,79,51,7.9,32,Fuse Games Limited
417,Midnight Club 3: DUB Edition,PSP,1,Racing,Take-Two Interactive,74,1.69,14.95,E10+,39,46.75,48,9,29.25,1.69,2005,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1.65,1.21,0,0.79,3.65,74,34,8.4,31,Rockstar Leeds
418,Midnight Club: Los Angeles,PS3,1,Racing,Take-Two Interactive,82,1.09,22.95,T,30.66666667,42.06666667,31.03333333,10,21.41666667,1.09,2008,1,0,2,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1.56,0.53,0.05,0.31,2.45,82,50,8.2,100,Rockstar San Diego
419,Midnight Club: Los Angeles,X360,1,Racing,Take-Two Interactive,81,1.15,22.95,T,30.66666667,42.06666667,31.03333333,10,21.41666667,1.15,2008,1,0,3,9,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1.68,0.45,0.01,0.21,2.35,81,66,8.5,142,Rockstar San Diego
