,X,img,title,console,genre,publisher,developer,vg_score,critic_score,user_score,total_shipped,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,last_update
1073,14694,/games/boxart/full_7176439AmericaFrontccc.jpg,UFC 2009 Undisputed,X360,Fighting,THQ,Yuke's Osaka,NA,8.4,NA,NA,2.07,1.48,0,0.39,0.19,5/19/2009,
1074,14695,/games/boxart/full_9497640AmericaFrontccc.jpg,Mortal Kombat vs DC Universe,PS3,Fighting,Midway Games,Midway Amusement Games,NA,7.6,NA,NA,2.05,1.52,NA,0.29,0.25,11/16/2008,
1075,14701,/games/boxart/full_8004556AmericaFrontccc.jpg,Mortal Kombat vs DC Universe,X360,Fighting,Midway Games,Midway Amusement Games,NA,7.6,NA,NA,1.99,1.58,NA,0.23,0.18,11/16/2008,
1076,14707,/games/boxart/full_8319372AmericaFrontccc.jpg,Mortal Kombat: Deception,PS2,Fighting,Midway Games,Midway Games,NA,7.4,NA,NA,1.88,0.92,NA,0.72,0.24,10/4/2004,
1077,14709,/games/boxart/full_7094507AmericaFrontccc.jpg,UFC 2009 Undisputed,PS3,Fighting,THQ,Yuke's Osaka,NA,8.4,NA,NA,1.76,1.07,0.01,0.45,0.24,5/19/2009,
1078,14721,/games/boxart/full_322404AmericaFrontccc.jpg,Soul Blade,PS,Fighting,Namco,Namco,NA,8.6,NA,NA,1.59,0.61,0.46,0.41,0.1,1/1/1997,
1079,14723,/games/boxart/full_mortal-kombat_154AmericaFront.jpg,Mortal Kombat,PS3,Fighting,Warner Bros. Interactive,NetherRealm Studios,NA,8.4,NA,NA,1.56,1.06,NA,0.31,0.19,4/19/2011,
1080,14727,/games/boxart/full_fight-night-round-4_5AmericaFront.jpg,Fight Night Round 4,PS3,Fighting,EA Sports,EA Canada,NA,8.6,NA,NA,1.52,0.92,NA,0.4,0.2,6/23/2009,
1081,14729,/games/boxart/full_9185103AmericaFrontccc.jpg,SoulCalibur II,GC,Fighting,Namco,Namco,NA,9.2,NA,NA,1.5,0.99,0.11,0.32,0.08,8/27/2003,
1082,14731,/games/boxart/7140334ccc.jpg,WWF No Mercy,N64,Fighting,THQ,Aki Corp.,NA,9.1,NA,NA,1.5,1.2,0.02,0.27,0.02,11/17/2000,
1083,14735,/games/boxart/full_1914073AmericaFrontccc.jpg,Fight Night Round 3,X360,Fighting,EA Sports,EA Chicago,NA,8.6,NA,NA,1.47,1.33,0.01,0.03,0.1,2/20/2006,
1084,14740,/games/boxart/5452545ccc.jpg,WWE SmackDown vs Raw 2008,X360,Fighting,THQ,Yuke's Media Creations,NA,7.3,NA,NA,1.43,0.92,0,0.38,0.13,11/13/2007,
1085,14741,/games/boxart/full_3106619AmericaFrontccc.jpg,UFC Undisputed 2010,PS3,Fighting,THQ,Yuke's Future Media Creators,NA,8.4,NA,NA,1.42,0.8,0.02,0.4,0.19,5/25/2010,
1086,14744,/games/boxart/full_fight-night-round-4_9AmericaFront.jpg,Fight Night Round 4,X360,Fighting,EA Sports,EA Canada,NA,8.7,NA,NA,1.4,0.95,NA,0.33,0.13,6/23/2009,
1087,14746,/games/boxart/full_marvel-vs-capcom-3-fate-of-two-worlds_944AmericaFront.jpg,Marvel vs. Capcom 3: Fate of Two Worlds,PS3,Fighting,Capcom,Capcom,NA,8.2,NA,NA,1.36,0.81,0.11,0.28,0.15,2/15/2011,
1088,14749,/games/boxart/6305625ccc.jpg,WWE SmackDown vs Raw 2008,PS3,Fighting,THQ,Yuke's Media Creations,NA,7.3,NA,NA,1.33,0.62,0.01,0.5,0.2,11/13/2007,
1089,14750,/games/boxart/full_8033207AmericaFrontccc.jpg,UFC Undisputed 2010,X360,Fighting,THQ,Yuke's Future Media Creators,NA,8.6,NA,NA,1.32,0.9,0,0.31,0.11,5/25/2010,
1090,14753,/games/boxart/full_wwe-12_98AmericaFront.jpg,WWE '12,X360,Fighting,THQ,"Yuke's Co., Ltd.",NA,7.5,NA,NA,1.27,0.74,0,0.4,0.12,11/22/2011,1/29/2019
1091,14760,/games/boxart/full_7362642AmericaFrontccc.jpg,WWE 2K14,PS3,Fighting,2K Sports,Yuke's,NA,7.6,NA,NA,1.2,0.49,NA,0.51,0.2,10/29/2013,10/8/2018
1092,14761,/games/boxart/5097183ccc.jpg,WWE SmackDown vs Raw 2008,PSP,Fighting,THQ,Yuke's Media Creations,NA,7.3,NA,NA,1.19,0.45,NA,0.47,0.28,11/13/2007,
1093,14763,/games/boxart/full_4412075AmericaFrontccc.jpg,WWE '12,PS3,Fighting,THQ,"Yuke's Co., Ltd.",NA,9,NA,NA,1.18,0.53,0.02,0.45,0.17,11/22/2011,1/29/2019
1094,14764,/games/boxart/full_6155986AmericaFrontccc.jpg,WWE SmackDown vs. Raw 2010,PS3,Fighting,THQ,JAKKS Pacific,NA,8.1,NA,NA,1.17,0.48,0.01,0.48,0.19,10/20/2009,
1095,14765,/games/boxart/3770708ccc.jpg,Bushido Blade,PS,Fighting,Sony Computer Entertainment,Light Weight,NA,8.2,NA,NA,1.16,0.39,0.43,0.27,0.08,9/30/1997,
1096,14769,/games/boxart/full_mortal-kombat_316AmericaFront.jpg,Mortal Kombat,X360,Fighting,Warner Bros. Interactive,NetherRealm Studios,NA,8.3,NA,NA,1.14,0.85,NA,0.19,0.1,4/19/2011,
1097,14771,/games/boxart/full_fight-night-champion_55AmericaFront.jpg,Fight Night Champion,PS3,Fighting,EA Sports,EA Canada,NA,8.4,NA,NA,1.13,0.45,NA,0.5,0.18,3/1/2011,
1098,14772,/games/boxart/full_8746356AmericaFrontccc.jpg,WWE 2K14,X360,Fighting,2K Sports,Yuke's,NA,7.6,NA,NA,1.12,0.64,NA,0.38,0.1,10/29/2013,10/8/2018
1099,14775,/games/boxart/3194065ccc.jpg,Virtua Fighter 5,PS3,Fighting,Sega,Sega-AM2,NA,8.7,NA,NA,1.08,0.29,0.08,0.52,0.2,2/20/2007,
1100,14776,/games/boxart/9802230ccc.gif,Dragon Ball Z: Taiketsu,GBA,Fighting,Atari,Webfoot Technologies,NA,3.8,NA,NA,1.08,0.77,NA,0.29,0.02,11/24/2003,
1101,14777,/games/boxart/full_marvel-vs-capcom-3-fate-of-two-worlds_375AmericaFront.jpg,Marvel vs. Capcom 3: Fate of Two Worlds,X360,Fighting,Capcom,Capcom,NA,8.4,NA,NA,1.07,0.79,0.03,0.18,0.08,2/15/2011,
1102,14778,/games/boxart/6479946ccc.jpg,Virtua Fighter,SAT,Fighting,Sega,Sega-AM2,NA,9,NA,NA,1.07,0.17,0.77,0.12,0.02,5/11/1995,
1103,14780,/games/boxart/full_4871038AmericaFrontccc.jpg,SoulCalibur III,PS2,Fighting,Namco,Namco,NA,8.5,NA,NA,1.07,0.74,0.13,0.15,0.05,10/25/2005,
1104,14781,/games/boxart/full_6027253AmericaFrontccc.jpg,Naruto: Ultimate Ninja Storm,PS3,Fighting,Namco Bandai,CyberConnect2,7.8,7.8,NA,NA,1.07,0.49,0.09,0.34,0.15,11/4/2008,
1105,14782,/games/boxart/full_4509582AmericaFrontccc.jpg,Mortal Kombat: Armageddon,PS2,Fighting,Midway Games,Midway Games,NA,7.4,NA,NA,1.06,0.88,NA,0.04,0.14,10/9/2006,
1106,14785,/games/boxart/full_3258165AmericaFrontccc.jpg,WWE SmackDown vs. Raw 2010,X360,Fighting,THQ,JAKKS Pacific,NA,8.2,NA,NA,1.04,0.56,0.01,0.37,0.1,10/20/2009,
1107,14786,/games/boxart/full_3670641AmericaFrontccc.jpg,Naruto: Clash of Ninja 2,GC,Fighting,D3 Publisher,8ing/Raizing,NA,7.4,NA,NA,1.04,0.44,0.45,0.12,0.03,9/26/2006,
1108,14788,/games/boxart/4080766ccc.jpg,Dragon Ball Z: Budokai Tenkaichi 3,Wii,Fighting,Atari,Spike / Bandai Namco Games,NA,7.5,8.6,NA,1.03,0.32,0.26,0.36,0.08,12/3/2007,
1109,14805,/games/boxart/full_8481866AmericaFrontccc.jpg,WWE SmackDown vs. Raw 2009,X360,Fighting,THQ,Yuke's Media Creations,NA,7.8,NA,NA,0.92,0.58,NA,0.26,0.08,11/9/2008,
1110,14806,/games/boxart/9580401ccc.jpg,Tobal No.1,PS,Fighting,Sony Computer Entertainment,DreamFactory,NA,7.7,NA,NA,0.92,0.12,0.66,0.08,0.06,9/30/1996,
1111,14808,/games/boxart/full_dissidia-012-duodecim-final-fantasy_821AmericaFront.jpg,Dissidia 012: Duodecim Final Fantasy,PSP,Fighting,Square Enix,Square Enix,NA,8.3,NA,NA,0.89,0.21,0.46,0.13,0.09,3/22/2011,
1112,14809,/games/boxart/full_wwe-smackdown-vs-raw-2011_10AmericaFront.jpg,WWE SmackDown vs. Raw 2011,X360,Fighting,THQ,JAKKS Pacific,NA,7.1,NA,NA,0.88,0.44,0,0.35,0.08,10/26/2010,
1113,14812,/games/boxart/full_7727169AmericaFrontccc.jpg,Street Fighter Alpha 2,PS,Fighting,Capcom,Capcom,NA,8.2,NA,NA,0.85,0.14,0.57,0.09,0.06,9/30/1996,
1114,14813,/games/boxart/5554177ccc.jpg,Dragon Ball Z: Burst Limit,PS3,Fighting,Atari,Dimps Corporation,NA,7.3,NA,NA,0.85,0.22,0.18,0.34,0.12,6/10/2008,
1115,14816,/games/boxart/full_2672662AmericaFrontccc.jpg,WWE SmackDown vs. Raw 2009,Wii,Fighting,THQ,Yuke's Media Creations,8,8.2,NA,NA,0.83,0.44,NA,0.31,0.08,11/9/2008,
1116,14817,/games/boxart/full_dragon-ball-raging-blast-2_0AmericaFront.jpg,Dragon Ball: Raging Blast 2,PS3,Fighting,Namco Bandai,Spike,NA,6,NA,NA,0.83,0.43,0.11,0.19,0.1,11/2/2010,
1117,14820,/games/boxart/full_ready-2-rumble-boxing-round-2_10AmericaFront.jpg,Ready 2 Rumble Boxing: Round 2,PS2,Fighting,Midway Games,Midway Games,NA,7.9,NA,NA,0.81,0.4,NA,0.31,0.1,10/23/2000,
1118,14822,/games/boxart/full_fight-night-champion_318AmericaFront.jpg,Fight Night Champion,X360,Fighting,EA Sports,EA Canada,NA,8.4,NA,NA,0.78,0.4,NA,0.31,0.07,3/1/2011,
1119,14823,/games/boxart/full_naruto-shippuden-ultimate-ninja-storm-2_3AmericaFront.jpg,Naruto Shippuden: Ultimate Ninja Storm 2,X360,Fighting,Namco Bandai,CyberConnect2,NA,7.6,NA,NA,0.78,0.43,0.01,0.27,0.07,10/19/2010,
1120,14827,/games/boxart/full_4004513AmericaFrontccc.jpg,Dragon Ball: Raging Blast,PS3,Fighting,Namco Bandai,Spike,NA,5.6,NA,NA,0.77,0.37,0.11,0.19,0.1,11/10/2009,
1121,14831,/games/boxart/full_3816488AmericaFrontccc.jpg,Mortal Kombat: Deception,XB,Fighting,Midway Games,Midway Games,NA,7.4,NA,NA,0.76,0.61,NA,0.12,0.03,10/4/2004,
1122,14832,/games/boxart/9035312ccc.jpg,Marvel vs. Capcom 2,PS2,Fighting,Capcom,Capcom,NA,8.2,NA,NA,0.76,0.31,0.13,0.24,0.08,11/19/2002,
1123,14834,/games/boxart/full_9456871AmericaFrontccc.jpg,WWE SmackDown vs. Raw 2009,PSP,Fighting,THQ,Yuke's Media Creations,NA,7.9,NA,NA,0.75,0.41,NA,0.2,0.14,11/9/2008,
1124,14837,/games/boxart/full_5763655AmericaFrontccc.jpg,Capcom vs. SNK 2: Mark of the Millennium 2001,PS2,Fighting,Capcom,Capcom,NA,7.9,NA,NA,0.75,0.22,0.3,0.17,0.06,11/6/2001,
1125,14842,/games/boxart/full_4518226AmericaFrontccc.jpg,Mortal Kombat: Unchained,PSP,Fighting,Midway Games,JGI Entertainment,NA,7,NA,NA,0.74,0.67,NA,0.01,0.06,11/15/2006,
1126,14846,/games/boxart/full_1690303AmericaFrontccc.jpg,WWE SmackDown vs. Raw 2010,Wii,Fighting,THQ,JAKKS Pacific,NA,7.8,NA,NA,0.73,0.49,NA,0.17,0.06,10/20/2009,
1127,14849,/games/boxart/full_8242103AmericaFrontccc.jpg,Mortal Kombat (2011),PSV,Fighting,Warner Bros. Interactive Entertainment,NetherRealm Studios,NA,8.8,NA,NA,0.71,0.42,NA,0.15,0.15,5/2/2012,1/6/2018
1128,14850,/games/boxart/full_8252768AmericaFrontccc.jpg,Virtua Fighter 4: Evolution,PS2,Fighting,Sega,Sega-AM2,NA,8.9,NA,NA,0.71,0.35,NA,0.27,0.09,8/13/2003,
1129,14852,/games/boxart/541794ccc.jpg,Godzilla: Destroy All Monsters Melee,GC,Fighting,Atari,"Pipeworks Software, Inc.",NA,7.5,NA,NA,0.71,0.55,NA,0.14,0.02,10/8/2002,
1130,14857,/games/boxart/4422106ccc.jpg,Dragon Ball Z: Budokai,GC,Fighting,Atari,Pyramid,NA,6.8,NA,NA,0.69,0.53,NA,0.14,0.02,10/28/2003,
1131,14859,/games/boxart/4798012ccc.jpg,Bushido Blade 2,PS,Fighting,Square EA,Light Weight,NA,7.5,NA,NA,0.68,0.25,0.22,0.17,0.04,2/28/1998,
1132,14864,/games/boxart/full_2551920AmericaFrontccc.jpg,WWE SmackDown vs. RAW 2007,PSP,Fighting,THQ,Yuke's,NA,7.8,NA,NA,0.66,0.33,NA,0.2,0.14,12/6/2006,
1133,14867,/games/boxart/full_184193AmericaFrontccc.jpg,Dead or Alive 5,PS3,Fighting,Tecmo Koei,Team Ninja,NA,7.6,NA,NA,0.65,0.23,0.21,0.15,0.07,2/17/2015,1/23/2018
1134,14869,/games/boxart/full_dragon-ball-raging-blast-2_1AmericaFront.jpg,Dragon Ball: Raging Blast 2,X360,Fighting,Namco Bandai,Spike,NA,6,NA,NA,0.64,0.49,0.01,0.09,0.05,11/2/2010,
1135,14873,/games/boxart/full_dragon-ball-z-ultimate-tenkaichi_330PALFront.jpg,Dragon Ball Z: Ultimate Tenkaichi,PS3,Fighting,Namco Bandai,Spike,NA,5,NA,NA,0.62,0.27,0.09,0.18,0.07,10/25/2011,
1136,14876,/games/boxart/9131941ccc.jpg,Backyard Wrestling: Don't Try This at Home,PS2,Fighting,Eidos Interactive,Paradox Development,NA,6,NA,NA,0.6,0.3,NA,0.23,0.08,10/7/2003,
1137,14878,/games/boxart/full_fighters-uncaged_5AmericaFront.jpg,Fighters Uncaged,X360,Fighting,Ubisoft,AMA Studios,NA,3.2,NA,NA,0.6,0.31,NA,0.23,0.06,11/4/2010,
1138,14880,/games/boxart/full_the-fight-lights-out_9AmericaFront.jpg,The Fight: Lights Out,PS3,Fighting,Sony Computer Entertainment,ColdWood Interactive,NA,4.7,NA,NA,0.59,0.29,NA,0.21,0.09,11/9/2010,
1139,14884,/games/boxart/full_7327869AmericaFrontccc.jpg,BlazBlue: Calamity Trigger,PS3,Fighting,Aksys Games,Arc System Works,NA,8.5,NA,NA,0.57,0.36,0.06,0.1,0.06,6/30/2009,
1140,14885,/games/boxart/full_86372AmericaFrontccc.jpg,Ultra Street Fighter II: The Final Challengers,NS,Fighting,Capcom,Capcom,NA,7,NA,NA,0.57,0.22,0.09,0.22,0.04,5/26/2017,1/4/2018
1141,14890,/games/boxart/full_5739016AmericaFrontccc.jpg,WWF Raw (2002),XB,Fighting,THQ,Anchor,NA,6.5,NA,NA,0.55,0.4,NA,0.13,0.02,2/11/2002,1/6/2018
1142,14895,/games/boxart/1947782ccc.jpg,Dragon Ball Z: Shin Budokai,PSP,Fighting,Atari,Dimps Corporation,NA,7.4,NA,NA,0.54,0.26,0.13,0.08,0.07,3/7/2006,
1143,14897,/games/boxart/default.jpg,Dragon Ball Z: Ultimate Tenkaichi,X360,Fighting,Namco Bandai,Spike,NA,6,NA,NA,0.54,0.39,0.01,0.1,0.05,10/25/2011,
1144,14900,/games/boxart/full_1741713AmericaFrontccc.jpg,Tatsunoko vs. Capcom: Ultimate All-Stars,Wii,Fighting,Capcom,Eighting,NA,8.3,NA,NA,0.54,0.3,0.03,0.16,0.05,1/26/2010,
1145,14904,/games/boxart/514024ccc.jpg,Fight Night Round 3,PSP,Fighting,EA Sports,EA Chicago,NA,7.2,NA,NA,0.52,0.46,NA,0.02,0.04,2/20/2006,
1146,14906,/games/boxart/1522598ccc.jpg,Ready 2 Rumble Boxing: Round 2,PS,Fighting,Midway Games,Midway Games,NA,6.5,NA,NA,0.52,0.29,NA,0.2,0.03,11/9/2000,
1147,14908,/games/boxart/full_9378049AmericaFrontccc.jpg,SoulCalibur: Broken Destiny,PSP,Fighting,Namco Bandai,Project Soul,NA,8,NA,NA,0.51,0.12,0.07,0.2,0.12,9/1/2009,
1148,14910,/games/boxart/full_bleach-soul-resurreccion_230AmericaFront.jpg,Bleach: Soul Resurreccion,PS3,Fighting,NIS America,Eighting,NA,6.7,NA,NA,0.51,0.27,0.07,0.11,0.06,8/3/2011,
1149,14911,/games/boxart/full_6912453AmericaFrontccc.jpg,Dragon Ball: Raging Blast,X360,Fighting,Namco Bandai,Spike,6.5,5.8,NA,NA,0.51,0.36,0.02,0.08,0.04,11/10/2009,
1150,14912,/games/boxart/3371663ccc.jpg,Dragon Ball Z: Supersonic Warriors,GBA,Fighting,Atari,Banpresto,NA,7.1,NA,NA,0.51,0.36,NA,0.13,0.01,6/22/2004,
1151,14913,/games/boxart/full_9811944AmericaFrontccc.jpg,WWE SmackDown vs. RAW 2007,X360,Fighting,THQ,Yuke's,NA,8,NA,NA,0.5,0.44,NA,0.03,0.04,11/14/2006,
1152,14915,/games/boxart/full_3753232AmericaFrontccc.jpg,Dead or Alive Ultimate,XB,Fighting,Tecmo,Team Ninja,NA,8.1,NA,NA,0.5,0.3,0.08,0.1,0.02,10/26/2004,
1153,14919,/games/boxart/274236ccc.jpg,Dragon Ball Z: Burst Limit,X360,Fighting,Atari,Dimps Corporation,NA,7.3,NA,NA,0.49,0.24,0.03,0.18,0.05,6/10/2008,
1154,14932,/games/boxart/8294019ccc.jpg,Bloody Roar II,PS,Fighting,Sony Computer Entertainment,Eighting / Raizing,NA,8.2,NA,NA,0.46,0.25,NA,0.17,0.03,4/30/1999,
1155,14934,/games/boxart/full_dead-or-alive-dimensions_835AmericaFront.jpg,Dead or Alive: Dimensions,3DS,Fighting,Tecmo Koei,Team Ninja,NA,7.8,NA,NA,0.45,0.13,0.07,0.22,0.03,5/24/2011,
1156,14935,/games/boxart/4547981ccc.jpg,Bleach: The Blade of Fate,DS,Fighting,Sega,"Treasure Co., Ltd.",NA,8.2,NA,NA,0.45,0.29,0.12,0.01,0.03,10/9/2007,
1157,14937,/games/boxart/8518451ccc.jpg,Tekken Advance,GBA,Fighting,Namco,Eighting / Raizing,NA,8.3,NA,NA,0.45,0.32,NA,0.12,0.01,1/28/2002,
1158,14938,/games/boxart/1340248ccc.jpg,TNA iMPACT!,X360,Fighting,Midway Games,Midway Studios Los Angeles,NA,6.4,NA,NA,0.45,0.26,NA,0.15,0.04,9/9/2008,
1159,14941,/games/boxart/5792956ccc.jpg,WWE Day of Reckoning,GC,Fighting,THQ,Yuke's Future Media Creators,NA,8.1,NA,NA,0.45,0.35,NA,0.09,0.01,8/30/2004,
1160,14943,/games/boxart/full_4024693AmericaFrontccc.jpg,Dragon Ball FighterZ,NS,Fighting,Bandai Namco Entertainment,Arc System Works,NA,9,NA,NA,0.44,0.21,0.07,0.13,0.03,9/28/2018,6/12/2018
1161,14946,/games/boxart/full_3993795AmericaFrontccc.jpg,Dragon Ball Z: Shin Budokai - Another Road,PSP,Fighting,Atari,Dimps Corporation,NA,7.2,NA,NA,0.43,0.19,0.08,0.09,0.07,3/20/2007,
1162,14951,/games/boxart/full_wwe-all-stars_965AmericaFront.jpg,WWE All Stars,PS3,Fighting,THQ,THQ,NA,7.6,NA,NA,0.41,0.16,NA,0.18,0.07,3/29/2011,
1163,14952,/games/boxart/full_blazblue-continuum-shift_3AmericaFront.jpg,BlazBlue: Continuum Shift,PS3,Fighting,Aksys Games,Arc System Works,NA,8.7,NA,NA,0.41,0.21,0.09,0.08,0.04,7/27/2010,
1164,14954,/games/boxart/1071188ccc.jpg,TNA iMPACT!,PS3,Fighting,Midway Games,Midway Studios Los Angeles,NA,6.3,NA,NA,0.4,0.22,NA,0.12,0.06,9/9/2008,
1165,14956,/games/boxart/407638ccc.jpg,Fighting Vipers,SAT,Fighting,Sega,Sega-AM2,NA,8,NA,NA,0.4,NA,0.4,NA,0,11/30/1996,
1166,14958,/games/boxart/5747678ccc.jpg,WWE SmackDown! vs. RAW 2006,PSP,Fighting,THQ,Yuke's,NA,8.1,NA,NA,0.4,0.36,NA,0.01,0.03,12/13/2005,
1167,14961,/games/boxart/1640877ccc.jpg,Bloody Roar,PS,Fighting,Sony Computer Entertainment,Eighting / Raizing,NA,8.6,NA,NA,0.39,0.22,NA,0.15,0.03,2/1/1998,
1168,14968,/games/boxart/full_9174019AmericaFrontccc.jpg,Marvel Nemesis: Rise of the Imperfects,GC,Fighting,Electronic Arts,Nihilistic Software,NA,6,NA,NA,0.38,0.3,NA,0.08,0.01,9/20/2005,
1169,14971,/games/boxart/full_ea-sports-mma_10AmericaFront.jpg,EA Sports MMA,PS3,Fighting,EA Sports,EA Tiburon,NA,7.6,NA,NA,0.37,0.16,0.01,0.14,0.06,10/19/2010,
1170,14976,/games/boxart/full_2916906AmericaFrontccc.jpg,Virtua Fighter 3tb,DC,Fighting,Sega,Sega,NA,8.1,NA,NA,0.37,NA,0.37,NA,0,10/18/1999,
1171,14979,/games/boxart/full_tekken-hybrid_218AmericaFront.jpg,Tekken Hybrid,PS3,Fighting,Namco,Namco Bandai Games,NA,4,NA,NA,0.36,0.21,0.04,0.07,0.04,11/22/2011,
1172,14983,/games/boxart/full_919423AmericaFrontccc.jpg,BlazBlue: Calamity Trigger,X360,Fighting,Aksys Games,Arc System Works,NA,8.5,NA,NA,0.36,0.21,0.04,0.08,0.03,6/30/2009,
1173,14986,/games/boxart/full_3131102AmericaFrontccc.jpg,Dragon Ball Z: Extreme Butoden,3DS,Fighting,Namco Bandai Games,Arc System Works,NA,5,NA,NA,0.35,0.13,0.17,0.03,0.02,10/20/2015,1/17/2018
1174,14988,/games/boxart/full_ea-sports-mma_0AmericaFront.jpg,EA Sports MMA,X360,Fighting,EA Sports,EA Tiburon,NA,7.7,NA,NA,0.35,0.23,NA,0.09,0.03,10/19/2010,
1175,14989,/games/boxart/full_9573533AmericaFrontccc.jpg,Teenage Mutant Ninja Turtles: Smash-Up,Wii,Fighting,Ubisoft,Game Arts,8.2,7.2,NA,NA,0.35,0.33,NA,0,0.03,9/22/2009,
1176,14991,/games/boxart/full_8533911AmericaFrontccc.jpg,Dead or Alive 5 Last Round,PS4,Fighting,Tecmo Koei,Team Ninja,NA,7.1,NA,NA,0.35,0.09,0.09,0.13,0.04,2/17/2015,11/20/2018
1177,14999,/games/boxart/3711225ccc.jpg,SoulCalibur,DC,Fighting,Namco,Namco,NA,9.6,NA,NA,0.34,NA,0.34,NA,0,9/9/1999,
1178,15001,/games/boxart/full_wwe-all-stars_413AmericaFront.jpg,WWE All Stars,X360,Fighting,THQ,THQ,NA,7.7,NA,NA,0.34,0.18,NA,0.14,0.03,3/29/2011,
1179,15003,/games/boxart/full_4898456AmericaFrontccc.jpg,WWE Day of Reckoning 2,GC,Fighting,THQ,Yuke's Future Media Creators,NA,8.3,8.5,NA,0.34,0.26,NA,0.07,0.01,8/29/2005,
1180,15007,/games/boxart/full_7740042AmericaFrontccc.jpg,Dead or Alive 5,X360,Fighting,Tecmo Koei,Team Ninja,NA,7.6,NA,NA,0.33,0.2,0.03,0.08,0.03,9/25/2012,1/23/2018
1181,15008,/games/boxart/3359112ccc.jpg,Street Fighter Alpha 3 MAX,PSP,Fighting,Capcom,Capcom,NA,7.8,NA,NA,0.33,0.27,0.02,0.01,0.03,2/7/2006,
1182,15010,/games/boxart/9708121ccc.jpg,WWE Wrestlemania XIX,GC,Fighting,THQ,Yuke's,NA,7.8,NA,NA,0.33,0.26,NA,0.07,0.01,9/8/2003,
1183,15015,/games/boxart/full_1348041AmericaFrontccc.jpg,Kirby: Battle Royale,3DS,Fighting,Nintendo,HAL Laboratory,NA,6,NA,NA,0.33,0.07,0.2,0.05,0.01,1/19/2018,1/3/2018
1184,15019,/games/boxart/full_9661186AmericaFrontccc.jpg,Bleach: Shattered Blade,Wii,Fighting,Sega,Polygon Magic,NA,5.3,NA,NA,0.32,0.21,0.08,0.01,0.02,10/9/2007,
1185,15020,/games/boxart/full_9476369AmericaFrontccc.jpg,Street Fighter Alpha 2,SAT,Fighting,Capcom,Capcom,NA,8.1,NA,NA,0.32,NA,0.32,NA,NA,9/30/1996,
1186,15025,/games/boxart/full_3996458AmericaFrontccc.jpg,Marvel Nemesis: Rise of the Imperfects,PSP,Fighting,Electronic Arts,Team Fusion,NA,6.8,NA,NA,0.32,0.29,NA,0,0.02,10/4/2005,
1187,15026,/games/boxart/full_blazblue-continuum-shift_915AmericaFront.jpg,BlazBlue: Continuum Shift,X360,Fighting,Aksys Games,Arc System Works,NA,8.6,NA,NA,0.32,0.23,0.02,0.04,0.02,7/27/2010,
1188,15031,/games/boxart/full_the-king-of-fighters-xiii_282AmericaFront.jpg,The King of Fighters XIII,PS3,Fighting,Atlus,SNK Playmore Corporation,NA,7.8,NA,NA,0.3,0.17,0.04,0.07,0.03,11/22/2011,
1189,15032,/games/boxart/full_3307894AmericaFrontccc.jpg,Ehrgeiz,PS,Fighting,Square,DreamFactory,NA,6.7,NA,NA,0.3,0.17,NA,0.12,0.02,5/4/1999,
1190,15034,/games/boxart/full_powerup-heroes_476AmericaFront.jpg,PowerUp Heroes,X360,Fighting,Ubisoft,Ubisoft,NA,4,NA,NA,0.3,0.18,NA,0.09,0.03,10/18/2011,
1191,15053,/games/boxart/full_kung-fu-chaos_503AmericaFront.jpg,Kung Fu Chaos,XB,Fighting,Microsoft Game Studios,Just Add Monsters,NA,7,NA,NA,0.28,0.21,NA,0.06,0.01,2/24/2003,
1192,15054,/games/boxart/full_9146164AmericaFrontccc.png,Godzilla: Domination!,GBA,Fighting,Atari,WayForward Pocket Team,NA,4.7,NA,NA,0.28,0.2,NA,0.07,0.01,11/11/2002,
1193,15056,/games/boxart/2292432ccc.jpg,Dead or Alive,PS,Fighting,Tecmo,Team Ninja,NA,8.3,NA,NA,0.28,0.09,0.1,0.06,0.02,3/31/1998,
1194,15057,/games/boxart/full_8298258AmericaFrontccc.jpg,Virtua Fighter 5 Online,X360,Fighting,Sega,Sega-AM2,8.7,9.2,NA,NA,0.28,0.2,0.03,0.02,0.02,10/30/2007,
1195,15066,/games/boxart/full_dragon-ball-z-tenkaichi-tag-team_1AmericaFront.jpg,Dragon Ball Z: Tenkaichi Tag Team,PSP,Fighting,Namco Bandai,Dimps Corporation,NA,6,NA,NA,0.27,0.11,0.09,0.04,0.03,10/19/2010,
1196,15071,/games/boxart/full_2074570AmericaFrontccc.jpg,Naruto: Ultimate Ninja Heroes (US sales),PSP,Fighting,Namco Bandai,CyberConnect2,NA,7,NA,NA,0.26,0.26,NA,0,NA,8/28/2007,
1197,15082,/games/boxart/7689189ccc.jpg,Def Jam Vendetta,GC,Fighting,EA Sports BIG,Aki Corporation,NA,8.8,NA,NA,0.25,0.19,NA,0.05,0.01,3/31/2003,
1198,15087,/games/boxart/8525359ccc.jpg,Ready 2 Rumble Boxing: Round 2,N64,Fighting,Midway Games,Point of View,NA,6.9,NA,NA,0.24,0.19,NA,0.05,0,11/13/2000,
1199,15091,/games/boxart/full_9796103AmericaFrontccc.jpg,Virtua Fighter Kids,SAT,Fighting,Sega,Sega-AM2,NA,6.6,NA,NA,0.23,NA,0.23,NA,NA,7/31/1996,
