,X,img,title,console,genre,publisher,developer,vg_score,critic_score,user_score,total_shipped,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,last_update
3400,46880,/games/boxart/full_3042161AmericaFrontccc.jpg,Petz Sports,Wii,Simulation,Ubisoft,Ubisoft Montreal,NA,5,NA,NA,0.47,0.42,NA,0.01,0.04,11/4/2008,
3401,46881,/games/boxart/4941530ccc.jpg,Dance Dance Revolution: Mario Mix,GC,Simulation,Nintendo,Konami,NA,7,NA,NA,0.47,0.36,NA,0.09,0.01,10/24/2005,
3402,46887,/games/boxart/full_the-sims-3-ambitions_3AmericaFront.jpg,The Sims 3: Ambitions,PC,Simulation,Electronic Arts,EA Redwood Shores,NA,7.9,NA,NA,0.45,NA,NA,0.29,0.16,6/1/2010,
3403,46890,/games/boxart/full_5698168PALFrontccc.png,Style Savvy: Styling Star,3DS,Simulation,Nintendo,syn Sophia,NA,8.5,NA,NA,0.45,NA,0.14,0.29,0.02,12/25/2017,9/5/2018
3404,46903,/games/boxart/full_6898695AmericaFrontccc.jpg,Colony Wars,PS,Simulation,Psygnosis,Psygnosis,NA,8.8,NA,NA,0.42,0.24,NA,0.16,0.03,11/4/1997,
3405,46904,/games/boxart/full_horsez_1AmericaFront.jpg,Horsez,DS,Simulation,Ubisoft,MTO,NA,4,NA,NA,0.42,0.38,NA,0.01,0.03,11/28/2006,
3406,46909,/games/boxart/full_5520640AmericaFrontccc.jpg,Blazing Angels: Squadrons of WWII,X360,Simulation,Ubisoft,Ubisoft Romania,NA,6.4,NA,NA,0.42,0.36,NA,0.02,0.03,3/23/2006,
3407,46911,/games/boxart/full_536917AmericaFrontccc.jpg,Zone of the Enders: The 2nd Runner,PS2,Simulation,Konami,Konami Computer Entertainment Japan,NA,8.6,NA,NA,0.41,0.15,0.11,0.12,0.04,3/10/2003,
3408,46914,/games/boxart/7474120ccc.jpg,Armored Core,PS,Simulation,Sony Computer Entertainment,From Software,NA,7.2,NA,NA,0.41,0.13,0.16,0.09,0.03,10/31/1997,
3409,46923,/games/boxart/full_3327077AmericaFrontccc.jpg,Spore Hero,Wii,Simulation,Electronic Arts,Maxis,NA,5.8,NA,NA,0.4,0.35,NA,0.02,0.03,10/6/2009,
3410,46924,/games/boxart/full_6710705AmericaFrontccc.jpg,The Urbz: Sims in the City,GC,Simulation,Electronic Arts,Maxis,NA,7.6,NA,NA,0.4,0.24,NA,0.14,0.02,11/9/2004,
3411,46927,/games/boxart/full_7190055AmericaFrontccc.jpg,Harvest Moon: Save the Homeland,PS2,Simulation,Natsume,Victor Interactive Software,NA,7.8,NA,NA,0.4,0.19,NA,0.15,0.05,11/22/2001,
3412,46949,/games/boxart/full_7772985AmericaFrontccc.jpg,Dawn of Discovery,PC,Simulation,Ubisoft,Related Designs,NA,8.4,NA,NA,0.37,NA,NA,0.32,0.05,6/25/2009,
3413,46959,/games/boxart/full_harvest-moon-the-tale-of-two-towns_359AmericaFront.jpg,Harvest Moon: The Tale of Two Towns,3DS,Simulation,Natsume,Marvelous Interactive,NA,6.3,NA,NA,0.36,0.28,0.05,0,0.02,11/1/2011,1/7/2018
3414,46960,/games/boxart/full_7565977AmericaFrontccc.jpg,Trauma Center: Under the Knife,DS,Simulation,Atlus,Atlus Co.,NA,8,NA,NA,0.36,0.3,0.02,0.01,0.03,10/4/2005,
