"","X","img","title","console","genre","publisher","developer","critic_score","total_sales","na_sales","jp_sales","pal_sales","other_sales","release_date"
"41182",41826,"/games/boxart/full_8451662AmericaFrontccc.jpg","Star Wars Battlefront (2015)","XOne","Shooter","Electronic Arts","EA DICE",6.9,4.15,2.49,0.02,1.26,0.38,"11/17/2015"
"41184",41828,"/games/boxart/full_914135AmericaFrontccc.jpg","Far Cry 4","PS4","Shooter","Ubisoft","Ubisoft Montreal",8.4,4.06,1.18,0.11,2.14,0.63,"11/18/2014"
"41187",41831,"/games/boxart/full_2455613AmericaFrontccc.jpg","Left 4 Dead 2","X360","Shooter","Electronic Arts","Certain Affinity / Valve Software",9,3.97,2.67,0.05,0.88,0.38,"11/17/2009"
"41188",41832,"/games/boxart/full_8649362AmericaFrontccc.jpg","Battlefield 4","PS4","Shooter","Electronic Arts","EA DICE",8.3,3.94,1.4,0.19,1.74,0.62,"11/15/2013"
"41190",41834,"/games/boxart/full_7967734AmericaFrontccc.jpg","SOCOM: U.S. Navy SEALs","PS2","Shooter","Sony Computer Entertainment","Zipper Interactive",8,3.65,2.53,0.06,0.81,0.24,"8/27/2002"
"41191",41835,"/games/boxart/full_5853156AmericaFrontccc.jpg","Battlefield 4","PS3","Shooter","Electronic Arts","EA DICE",8.7,3.64,1.31,0.27,1.5,0.55,"10/29/2013"
"41193",41837,"/games/boxart/8508334ccc.jpg","Star Wars Battlefront","PS2","Shooter","LucasArts","Pandemic Studios",8.1,3.61,1.93,0.03,1.22,0.44,"9/20/2004"
"41195",41839,"/games/boxart/6381124ccc.gif","Star Wars Battlefront II","PS2","Shooter","LucasArts","Pandemic Studios",8.5,3.59,2.18,0.03,1.02,0.37,"11/1/2005"
"41196",41840,"/games/boxart/full_162643AmericaFrontccc.jpg","Battlefield 4","X360","Shooter","Electronic Arts","EA DICE",8.7,3.54,2.16,0.02,1.05,0.32,"10/29/2013"
"41198",41842,"/games/boxart/full_5792279AmericaFrontccc.jpg","Left 4 Dead","X360","Shooter","Valve Corporation","Certain Affinity / Valve Software",8.7,3.52,2.66,0.05,0.49,0.31,"10/18/2008"
