,Title,Console,Max_Players,Genres,Publishers,Review_Score,US_Sales,Used_Price,Release.Rating,Length.All.PlayStyles.Average,Length.All.PlayStyles.Leisure,Length.All.PlayStyles.Median,Length.All.PlayStyles.Polled,Length.All.PlayStyles.Rushed,Length.Completionists.Average,Length.Completionists.Leisure,Length.Completionists.Median,Length.Completionists.Polled,Length.Completionists.Rushed,Length.Main...Extras.Average,Length.Main...Extras.Leisure,Length.Main...Extras.Median,Length.Main...Extras.Polled,Length.Main...Extras.Rushed,Length.Main.Story.Average,Length.Main.Story.Leisure,Length.Main.Story.Median,Length.Main.Story.Polled,Length.Main.Story.Rushed,US.Sales..millions.,YearReleased,Publisher,Sequel,Re.release,Lifecycle,LifecycleSq,Online,Licensed,Handheld,Accessory,LtdEdition,Multiplatform,GBA,GCN,NDS,Wii,PS2,PS3,PSP,Xbox,X360,Action,Adventure,Educational,Racing,RPG,Simulation,Sports,Strategy,X2K,Acclaim,Activision,Atari,Capcom,Disney,Eidos,EA,Infograme,Konami,Microsoft,Midway,Namco,Nintendo,Rockstar,Sony,Sega,THQ,SquareEnix,Ubisoft,Adult,Anime,Arcade,Battlemech,Boardgame,Cards,Casino,Chess,Comics,Cyberpunk,Detective,Fighting,Flight,Helicoptor,HistoricalBattle,Horror,InteractiveFiction,InteractiveFictionGraphics,InteractiveMovie,Managerial,MartialArts,MedievalFantasy,Meditative,MentalTraining,Naval,Paddle,PersistentUniverse,Pinball,PostApocalyptic,Puzzle,RealTime,RhythmAction,SciFi,Shooter,Spy,Stealth,SurvivalHorror,Tank,Train,TurnBased,VideoBackdrop,VisualNovel,Ecology,Language,Geography,Graphics,Health,History,Maths,Music,PreSchool,Reading,Religion,Science,Sociology,Typing,AmericanFootball,Basketball,Baseball,Boxing,Bowling,Cricket,Fishing,Cycling,Golf,Hockey,Horse,Hunting,Motorcycle,OffRoad,Olympiad,Paintball,PingPong,Pool,Rugby,Sailing,Skateboarding,Snowboarding,Soccer,Surfing,Tennis,Tricks,Volleyball,Wakeboarding,Wrestling,FirstPerson,Platform,Isometric,SideScrolling,TopDown,ThirdPerson
33,BlackSite: Area 51,X360,1,Action,Midway,62,0.29,17.95,E,5.816666667,7.9,5.8,30,4.683333333,6.8,7.4,6.8,2,6.216666667,5.866666667,6.216666667,6,4,5.466666667,5.733333333,7.816666667,5.533333333,24,4.583333333,0.29,2007,"Midway Home Entertainment, Inc., Midway Games Ltd.",1,0,2,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
34,Bleach: The Blade of Fate,Nintendo DS,1,Action,Sega,83,0.31,17.95,E,18.61666667,37.4,9,9,8.733333333,35.5,48.25,35.5,2,22.75,20,26,20,4,14,5.55,6.633333333,5,3,4.466666667,0.31,2007,"SEGA Europe Ltd., SEGA of America, Inc.",1,0,3,9,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35,Blue Dragon,X360,1,Role-Playing (RPG),Microsoft,79,0.27,14.95,T,59.91666667,88.16666667,51.71666667,68,42.53333333,99.13333333,110.8,103,9,88.86666667,59.95,86.73333333,55,36,45.06666667,44.5,52.9,46.03333333,23,37.26666667,0.27,2006,Microsoft Games Studios,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36,Brain Age: Train Your Brain in Minutes a Day!,Nintendo DS,1,Action,Nintendo,77,5.07,17.95,M,0.95,1.483333333,1,10,0.633333333,1,1,1,2,1,0.933333333,0.966666667,0.933333333,2,0.9,0.933333333,1.483333333,1,6,0.633333333,5.07,2005,"Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Canada Ltd., Nintendo of Europe GmbH",0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Brave Story: New Traveler,Sony PSP,1,Role-Playing (RPG),,76,0.11,17.95,T,26.16666667,32.6,25.25,31,21.73333333,28.65,31.01666667,26,3,26.28333333,27.7,33.38333333,26.86666667,16,23.13333333,23.5,26.83333333,23.83333333,12,20.71666667,0.11,2007,XSEED Games,0,0,3,9,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
38,Brothers in Arms: Hell's Highway,PlayStation 3,1,Action,Ubisoft,76,0.42,19.95,T,8.966666667,13.76666667,8.1,59,7.266666667,15.5,17.25,15.5,4,13.75,9.8,11.35,9,7,8.483333333,8.3,10.26666667,8,48,7.066666667,0.42,2008,"Ubisoft Entertainment SA, Ubisoft, Inc.",1,0,2,4,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
39,Brothers in Arms: Hell's Highway,X360,1,Action,Ubisoft,76,0.47,17.95,E,8.966666667,13.76666667,8.1,59,7.266666667,15.5,17.25,15.5,4,13.75,9.8,11.35,9,7,8.483333333,8.3,10.26666667,8,48,7.066666667,0.47,2008,"Ubisoft Entertainment SA, Ubisoft, Inc.",1,0,3,9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
40,Bullet Witch,X360,1,Action,Atari,55,0.06,16.95,M,8.533333333,11.5,7.5,12,5.5,15,15,15,1,15,12.41666667,12.85,13,3,11.96666667,6.266666667,8.133333333,6.283333333,8,4.633333333,0.06,2006,"AQ Interactive, Inc., Atari Europe S.A.S.U., Atari, Inc.",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41,Bully: Scholarship Edition,Nintendo Wii,2,"Action,Adventure",Rockstar,83,0.16,17.95,E,18.8,28.03333333,17.35,251,12.03333333,26.58333333,32.05,26,41,21.63333333,19.53333333,28.38333333,18,121,14.95,14.25,21.8,13.2,89,9.85,0.16,2008,"Rockstar Games, Inc.",0,1,2,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
42,Bully: Scholarship Edition,X360,1,"Action,Adventure",Rockstar,80,0.53,17.95,T,18.8,28.03333333,17.35,251,12.03333333,26.58333333,32.05,26,41,21.63333333,19.53333333,28.38333333,18,121,14.95,14.25,21.8,13.2,89,9.85,0.53,2008,"Rockstar Games, Inc.",0,1,3,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
43,Burnout Dominator,Sony PSP,4,"Action,Racing / Driving",EA,76,0.02,17.95,T,17.58333333,19.75,18.36666667,8,14.98333333,21.5,21.5,21.5,1,21.5,17.53333333,19.73333333,18.36666667,6,14.96666667,14,14,14,1,14,0.02,2007,"Electronic Arts, Inc.",1,0,3,9,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
44,Burnout Legends,Nintendo DS,1,"Action,Racing / Driving",EA,38,0.16,17.95,E,12.83333333,18.2,12,14,9,15.36666667,18.91666667,16.25,4,11.38333333,14.08333333,18.51666667,12,7,10.03333333,6.516666667,6.866666667,7,3,6.166666667,0.16,2005,"Electronic Arts, Inc.",0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
45,Burnout Legends,Sony PSP,1,"Action,Racing / Driving",EA,86,0.68,14.95,T,12.83333333,18.2,12,14,9,15.36666667,18.91666667,16.25,4,11.38333333,14.08333333,18.51666667,12,7,10.03333333,6.516666667,6.866666667,7,3,6.166666667,0.68,2005,"Electronic Arts UK Ltd., Electronic Arts, Inc.",1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
46,Burnout Paradise,PlayStation 3,1,"Action,Racing / Driving",EA,87,1.01,17.95,T,27.15,136.7833333,20,145,14.78333333,62.9,153.2166667,50,23,39.46666667,27.5,55.61666667,25,59,16.11666667,13.78333333,19.43333333,14,63,11.05,1.01,2008,"Electronic Arts, Inc.",1,0,2,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
47,Call of Duty 2,X360,4,Action,"Activision,Konami",89,1.69,17.95,E,9.233333333,14.55,9,210,6.55,11.63333333,15.7,11.18333333,39,8.2,9.6,11.31666667,10,25,7.4,8.516666667,11.36666667,8.983333333,146,6.366666667,1.69,2005,"Activision Deutschland GmbH, Activision Italia, Activision Publishing, Inc., Activision (UK) Limited, Konami Digital Entertainment Co., Ltd.",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
48,Call of Duty 3,Nintendo Wii,1,Action,Activision,69,1.15,19.95,E,8.816666667,12.81666667,8.45,96,6.816666667,9.8,12.2,10,5,7.733333333,11.58333333,14.13333333,11,13,9.633333333,8.3,12.06666667,8,78,6.566666667,1.15,2006,"Activision Publishing, Inc.",1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
