,Name,Platform,Max_Players,Genre,Publisher,Review_Score,Used_Price,Age_Rating,Length_Average,Length_Leisure,Length_Median,Length_Polled,Length_Rushed,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,User_Score,User_Count,Sequel,Online,Licensed,Handheld,Multiplatform,Third_Person
663,The BIGS,X360,4,Sports,Take-Two Interactive,79,12.95,E,16.81666667,30.06666667,10.13333333,4,6.916666667,2007,0.18,0.08,0,0,0.27,8.4,21,0,1,1,0,1,1
665,The Chronicles of Narnia: Prince Caspian,Wii,2,Action,Disney Interactive Studios,63,16.95,T,12.81666667,15.11666667,11.65,4,11.11666667,2008,0.31,0.02,0,0.03,0.36,7.1,12,1,0,1,0,1,1
666,The Chronicles of Narnia: Prince Caspian,X360,2,Action,Disney Interactive Studios,56,14.95,T,12.81666667,15.11666667,11.65,4,11.11666667,2008,0.16,0.01,0,0.01,0.18,7.5,13,1,1,1,0,1,1
667,The Club,PS3,4,Shooter,Sega,72,14.95,M,6.133333333,12.71666667,4.75,16,4.133333333,2008,0.14,0.07,0,0.03,0.23,6.5,15,0,1,0,0,1,1
668,The Club,X360,4,Shooter,Sega,76,14.95,M,6.133333333,12.71666667,4.75,16,4.133333333,2008,0.15,0.1,0,0.02,0.27,6.8,43,0,1,0,0,1,1
669,The Dark Spire,DS,1,Role-Playing,Success,69,24.95,E10+,56.01666667,82.06666667,45,6,39.2,2008,0.04,0,0,0,0.04,7.7,21,0,0,0,1,0,0
670,The Darkness,PS3,1,Shooter,Take-Two Interactive,80,14.95,M,10.9,17.06666667,10,90,7.966666667,2007,0.2,0.33,0,0.13,0.66,7.7,107,0,1,1,0,1,0
671,The Darkness,X360,1,Shooter,Take-Two Interactive,82,14.95,M,10.9,17.06666667,10,90,7.966666667,2007,0.36,0.04,0.01,0.03,0.44,8.1,196,0,1,1,0,1,0
672,The Elder Scrolls IV: Oblivion,PS3,1,Role-Playing,Ubisoft,93,17.95,M,101.0833333,310.2666667,80,518,47.51666667,2007,1.69,0.85,0.14,0.43,3.1,8,604,1,0,0,0,1,1
673,The Elder Scrolls IV: Oblivion,X360,1,Role-Playing,Take-Two Interactive,94,19.95,M,101.0833333,310.2666667,80,518,47.51666667,2006,2.82,1.03,0.13,0.4,4.38,8.7,1109,1,0,0,0,1,1
674,The Golden Compass,PS3,1,Action,Sega,40,12.95,E10+,8.566666667,12.13333333,7,5,6.383333333,2007,0.14,0.1,0,0.05,0.28,4.8,16,0,0,1,0,1,1
675,The Golden Compass,PSP,1,Action,Sega,28,14.95,E10+,8.566666667,12.13333333,7,5,6.383333333,2007,0.11,0.16,0,0.1,0.37,4.1,7,0,0,1,1,1,1
676,The Golden Compass,Wii,1,Action,Sega,35,14.95,E10+,8.566666667,12.13333333,7,5,6.383333333,2007,0.26,0.28,0,0.07,0.6,6.8,6,0,0,1,0,1,1
677,The Golden Compass,X360,1,Action,Sega,41,9.95,E10+,8.566666667,12.13333333,7,5,6.383333333,2007,0.3,0.12,0,0.04,0.46,4.1,14,0,0,1,0,1,1
679,The Incredible Hulk,PS3,1,Action,Sega,55,16.95,T,5.216666667,5.216666667,5.216666667,1,5.216666667,2008,0.22,0.02,0,0.02,0.26,6.8,20,0,0,0,0,0,1
681,The Incredible Hulk,X360,1,Action,Sega,55,17.95,T,5.216666667,5.216666667,5.216666667,1,5.216666667,2008,0.22,0.02,0,0.02,0.26,6.4,24,0,0,0,0,1,1
682,The Last Remnant,X360,1,Role-Playing,Square Enix,66,14.95,M,87.28333333,151.5666667,75,73,55.56666667,2008,0.25,0.2,0.18,0.06,0.68,6.9,122,0,0,0,0,0,1
683,The Legend of Heroes III: Song of the Ocean,PSP,1,Role-Playing,Namco Bandai Games,58,17.95,E10+,49.88333333,57.46666667,50,4,42.25,2007,0.03,0,0,0,0.03,6.1,7,1,0,0,1,0,0
684,The Legend of Heroes: A Tear of Vermillion,PSP,1,Role-Playing,Namco Bandai Games,68,17.95,T,31.28333333,38.76666667,29.83333333,9,26.76666667,2005,0.08,0,0,0.01,0.09,7.7,26,0,0,0,1,0,0
685,The Legend of Kage 2,DS,1,Action,Square Enix,70,14.95,E10+,3.333333333,3.333333333,3.333333333,1,3.333333333,2008,0.07,0,0,0,0.07,6.3,4,1,0,0,1,0,1
686,The Legend of Zelda: Phantom Hourglass,DS,1,Action,Nintendo,90,24.95,E,20.21666667,40.18333333,19.4,153,14.65,2007,1.85,1.8,0.95,0.48,5.08,8,416,1,1,0,1,0,1
687,The Legend of Zelda: Twilight Princess,Wii,1,Action,Nintendo,95,39.95,T,45.6,75.23333333,43,528,32,2006,3.74,2.14,0.6,0.68,7.15,9,1658,1,0,0,0,1,1
688,The Legendary Starfy,DS,1,Platform,Nintendo,75,24.95,E,14.25,18.53333333,9.9,11,9.033333333,2008,0.6,0,0.2,0.05,0.85,8.4,26,0,0,0,1,0,1
689,The Orange Box,X360,1,Shooter,Electronic Arts,96,17.95,M,34.01666667,113.75,29,33,24.45,2007,1.09,0.53,0.02,0.17,1.82,8.9,797,1,1,0,0,0,0
690,The Outfit,X360,2,Action,THQ,70,14.95,M,7.866666667,7.933333333,7.866666667,2,7.8,2006,0.21,0.02,0,0.02,0.25,7.5,48,0,1,0,0,0,1
692,The Settlers,DS,1,Action,Ubisoft,39,17.95,E,7.183333333,9.5,4.833333333,3,4.866666667,2007,0.1,0,0,0.01,0.11,5.6,7,0,0,0,1,0,0
693,The Simpsons Game,DS,1,Action,Electronic Arts,69,17.95,T,1.033333333,2.4,1,35,0.716666667,2007,0.56,0.77,0,0.17,1.51,7.3,18,0,0,1,1,1,1
694,The Simpsons Game,PS3,2,Action,Electronic Arts,71,17.95,T,1.033333333,2.4,1,35,0.716666667,2007,0.38,0.36,0,0.15,0.88,7.5,49,0,1,1,0,1,1
695,The Simpsons Game,PSP,1,Action,Electronic Arts,59,16.95,T,1.033333333,2.4,1,35,0.716666667,2007,0.24,0.54,0,0.3,1.07,6.7,15,0,0,1,1,1,1
696,The Simpsons Game,Wii,2,Action,Electronic Arts,64,17.95,T,1.033333333,2.4,1,35,0.716666667,2007,0.45,0.46,0,0.11,1.01,6.1,38,0,0,1,0,1,1
697,The Simpsons Game,X360,2,Action,Electronic Arts,71,17.95,T,1.033333333,2.4,1,35,0.716666667,2007,0.54,0.39,0,0.11,1.03,7.7,71,0,0,1,0,1,1
698,The Sims 2,DS,1,Simulation,Electronic Arts,70,17.95,E10+,55.93333333,122.7,34.91666667,20,29.7,2005,0.81,0.05,0,0.07,0.93,6.1,24,1,0,0,1,1,1
699,The Sims 2,PSP,1,Simulation,Electronic Arts,65,14.95,T,55.93333333,122.7,34.91666667,20,29.7,2005,0.49,0.55,0,0.33,1.37,6.9,32,1,1,0,1,1,1
700,The Sims 2: Castaway,DS,1,Simulation,Electronic Arts,66,16.95,E,8,8,8,1,8,2007,0.62,0.04,0,0.06,0.71,4,5,1,0,0,1,1,1
701,The Sims 2: Castaway,PSP,1,Simulation,Electronic Arts,64,17.95,E10+,8,8,8,1,8,2007,0.08,0.46,0,0.25,0.79,7.3,18,1,0,0,1,1,0
